generation,maxfitness,minfitness,mean,std
 0,51.41191358702433,13.927129089550792,20.287884092200297,5.6965290139242
 1,60.24738448787178,19.750539169428713,28.9187363616164,7.523610030880184
 2,82.38687197520152,28.97840123656588,40.98543744026149,9.658080701749213
 3,100.9275592120568,40.64929797694989,54.215249986573355,10.52783617686962
 4,120.1355134120946,53.32880881272011,68.8700504293839,12.315813241981635
 5,149.9134955086653,69.47899221614449,84.59096817443084,12.874500206515386
 6,155.81535759093813,82.81324193375568,101.07097118746411,13.976244881598246
 7,178.2589773275479,101.09506648343114,118.5803758516999,14.52401433477297
 8,185.60308332076332,116.70131638201175,133.56413935969007,12.718245151310043
 9,206.51449697638964,132.0315114718067,149.31349509460878,13.326919446801291
 10,216.8753697527829,146.7660690855172,163.61235637862345,13.044690274975004
 11,224.27180768429966,159.94087522265195,176.81019809330857,12.9136820169517
 12,229.68310205380192,173.53582316395307,189.52057343820965,11.340274549540965
 13,245.0168576829596,184.96115147760423,198.2392756675064,10.418646106710664
 14,248.04965952295885,194.8107654542015,208.35477793674082,10.374448679091012
 15,255.1408286170307,203.5640017775747,216.86183037048164,9.925989918429533
 16,261.43350533493805,211.2117605493981,224.39509437716552,9.767555032578743
 17,265.8752691691054,218.54131585897596,231.25165685728885,9.40721341891762
 18,267.7302876020861,225.7150374156227,237.54325216343867,9.264578106478506
 19,268.4325499751099,231.25850732098172,242.4514407620017,8.274038231227733
 20,271.86354453794837,235.12279769734783,246.80005134146546,8.79829094388332
 21,273.1938304222103,238.75257960750946,249.85503025010118,8.683994407361807
 22,280.2176713608602,242.19550635021574,253.30961484711725,8.258207435695223
 23,277.91316536409613,244.44974444865636,256.1817504294863,8.550363520261877
 24,280.5182370789478,247.61868092561753,258.8389714090673,8.330564533808053
 25,280.0530460731399,249.60026393526914,260.1850302598658,8.099614816347968
 26,282.9371006813808,251.3303713001597,262.74473548205816,8.243098051418203
 27,283.4674155383227,252.38207775406107,264.2812614047413,8.126616537525914
 28,284.94723323903605,252.63002155721756,264.2308140179155,8.788372942293051
 29,284.3987979015664,254.5118213606815,265.5374851753864,8.135051677722357
 30,284.7235564155656,255.15290676529514,266.20898667169706,8.499781931055544
 31,285.53314720552925,256.7925611286922,267.9479245515461,8.10071416482545
 32,285.3366173791581,257.61619664163044,268.4166319040143,8.257007501695991
 33,285.43785412822575,258.64331429928035,269.68114450710397,7.902219595614159
 34,286.60271309610084,259.024227965461,270.9587282169727,8.73866347141321
 35,287.016708558564,259.27023871775043,269.97281994168117,8.388072656531227
 36,287.0012538579233,260.2848226882649,271.2151519141403,8.220954324238894
 37,287.48624133259597,259.93378981469874,271.94744521885207,8.539518238276976
 38,287.8871165429409,260.1653588992047,271.44338012709176,8.389164196529888
 39,288.20964161139193,260.6893514516066,272.5889743570406,8.600946522457136
 40,287.7146744876276,260.66724233229183,271.94819059557767,8.589169374014796
 41,287.82535197251514,261.7597226011308,273.3110994702927,8.201442527791297
 42,288.42065639118596,261.84882938003625,273.7328313179754,8.414545738607648
 43,288.42853939352847,262.72657297983244,273.86712268765876,8.153436661243918
 44,287.9414446787223,262.5480213497392,273.3874193733419,8.22850454265313
 45,288.1938435163211,262.6660452067324,273.4850969759301,8.292838260036648
 46,288.47855063848687,263.3010569966308,275.1796826950974,8.25190798519511
 47,288.84103164845374,263.1450174477976,274.23184511845665,8.496145156130275
 48,288.65713325860395,263.04538751281046,274.69795454561716,8.602846217742595
 49,288.7875375064816,263.34231375638893,274.9117804240346,8.396887624470498
 50,288.54729964301004,263.8702969355816,274.28521816253954,8.292379834770655
 51,289.17984843802094,263.37439472358494,274.83237295461487,8.43311003738908
 52,288.96772052995993,263.6907812409032,274.8140823958571,8.050149300720792
 53,288.8540708300328,264.2466197957284,275.1076661474028,8.121106007918574
 54,289.4772261818698,264.39073912839353,274.29829539753985,8.147058580545083
 55,289.1650929951161,263.1615222303902,274.5864651209336,8.451151814452546
 56,289.0695842818606,264.28601087342594,275.0268165035546,8.199020011179602
 57,289.13092305932275,264.14531957963106,274.8517006465064,8.376634044154699
 58,289.2747668488431,264.75008198245786,276.6187288475818,8.602148792057697
 59,289.55139140912036,264.37961008609,274.9622903928688,8.491192607745024
 60,289.3774879588135,264.5771346146275,275.55051514959763,8.493931369063125
 61,289.1838252740949,264.79489620108257,275.61741819278336,8.33415706899882
 62,289.1649843473707,264.95265242856726,275.5275088615144,8.405334839755756
 63,289.5778803089044,265.7218897764089,276.5319726608533,8.10114040490815
 64,289.59210605325814,264.7692055824162,275.5086114854822,8.358525495545834
 65,289.2749780144869,264.6180394667875,275.21528665034384,8.416335537849243
